Time,US_YER,US_HICSA,US_STN,EA_YER,EA_HICSA,EA_STN,UK_YER,UK_HICSA,UK_STN,Oil
1971-Q1,2.67,4.70,3.86,4.13,5.04,6.52,3.63,8.24,7.00,2.23
1971-Q2,2.18,3.19,4.56,3.50,5.27,5.94,3.02,9.39,6.00,2.55
1971-Q3,3.99,2.74,5.47,3.85,4.95,6.23,3.78,9.63,5.67,3.45
1971-Q4,1.64,2.64,4.75,3.44,4.17,6.01,3.26,8.81,5.00,3.42
1972-Q1,2.85,2.53,3.54,5.08,5.18,5.05,3.94,7.65,5.00,3.40
1972-Q2,4.36,2.19,4.30,4.48,4.14,4.75,4.81,5.99,5.33,3.67
1972-Q3,4.99,2.25,4.74,4.29,5.06,4.86,3.30,6.26,6.00,3.64
1972-Q4,4.85,2.47,5.14,4.95,4.92,6.39,4.50,7.43,8.00,3.62
1973-Q1,4.99,3.39,6.54,5.39,5.30,6.79,9.32,7.63,8.67,3.62
1973-Q2,5.21,4.66,7.82,5.92,5.88,8.49,6.85,8.91,7.83,3.78
1973-Q3,3.02,5.58,10.56,5.93,4.61,10.21,5.61,8.79,11.50,4.25
1973-Q4,1.51,6.52,10.00,5.56,4.59,11.08,3.61,9.78,12.42,4.58
1974-Q1,-0.45,7.38,9.32,4.64,2.62,11.23,-4.06,12.11,12.58,4.60
1974-Q2,0.35,8.07,11.25,3.62,2.55,11.47,-2.78,14.74,11.83,15.50
1974-Q3,-1.54,8.35,12.09,2.93,2.68,11.52,-1.14,15.72,11.67,13.00
1974-Q4,-1.11,8.44,9.35,0.24,0.72,10.66,-2.24,16.70,11.50,11.50
1975-Q1,-2.59,7.91,6.30,-1.68,1.28,8.81,0.60,18.49,10.50,11.70
1975-Q2,-0.85,6.34,5.42,-1.35,1.73,7.06,-2.57,21.74,9.92,11.50
1975-Q3,1.19,5.30,6.16,-1.14,2.30,6.38,-3.51,23.56,11.00,11.40
1975-Q4,3.75,5.01,5.41,1.52,4.61,6.60,-0.77,22.56,11.67,11.50
1976-Q1,5.21,4.95,4.83,4.08,5.25,7.00,0.80,20.26,9.67,11.60
1976-Q2,4.32,3.86,5.20,4.84,4.56,8.57,2.33,14.82,11.17,12.90
1976-Q3,3.50,3.61,5.28,4.79,4.13,9.35,3.92,12.80,12.00,12.95
1976-Q4,2.01,3.92,4.87,5.33,3.89,9.21,4.86,13.91,14.67,13.15
1977-Q1,2.41,4.85,4.66,4.12,2.82,10.21,3.31,15.28,11.25,13.56
1977-Q2,3.85,4.99,5.16,2.98,3.41,9.37,2.88,16.05,8.25,14.45
1977-Q3,4.86,4.92,5.82,2.22,3.43,9.00,2.29,15.34,7.00,14.45
1977-Q4,3.71,4.57,6.51,1.81,3.31,9.13,1.80,12.28,6.33,14.28
1978-Q1,2.11,4.54,6.76,2.04,3.39,8.06,2.51,9.07,6.50,14.05
1978-Q2,4.17,5.42,7.28,3.04,3.19,7.91,4.38,7.40,8.83,13.95
1978-Q3,5.13,6.26,8.10,3.43,3.14,9.17,4.99,7.56,10.00,13.95
1978-Q4,6.12,6.85,9.58,3.43,3.26,9.14,4.29,7.78,11.67,14.09
1979-Q1,2.51,7.09,10.07,3.30,3.64,7.70,3.03,9.15,13.17,16.25
1979-Q2,1.65,7.91,10.18,3.75,4.44,9.35,6.09,10.06,12.67,23.25
1979-Q3,1.04,8.79,10.95,3.79,3.32,11.02,2.63,14.82,14.00,36.50
1979-Q4,1.09,9.42,13.58,3.55,3.22,12.69,2.68,15.92,16.00,36.50
1980-Q1,1.30,10.16,15.05,3.98,3.43,12.74,2.05,17.47,17.00,40.50
1980-Q2,-1.47,10.31,12.69,1.92,0.93,13.24,-4.20,19.51,17.00,38.25
1980-Q3,-1.88,9.05,9.84,1.36,2.03,12.24,-2.28,15.15,16.00,38.00
1980-Q4,-0.36,7.94,15.85,0.46,0.96,12.66,-4.32,14.22,14.67,33.40
1981-Q1,3.73,7.35,16.57,-0.38,-0.02,13.43,-3.49,11.96,13.33,40.15
1981-Q2,3.15,7.56,17.78,0.39,0.48,15.51,-1.27,11.07,12.00,38.35
1981-Q3,2.46,7.54,17.58,0.72,0.09,16.13,0.12,10.67,12.90,33.25
1981-Q4,-0.76,6.42,13.59,0.91,0.66,15.43,1.25,11.25,14.69,35.91
1982-Q1,-1.71,5.24,14.23,1.22,1.14,14.33,1.68,10.55,13.58,36.70
1982-Q2,-2.31,3.93,14.51,1.06,0.96,14.40,2.63,8.94,12.96,29.30
1982-Q3,-1.51,4.04,11.01,0.25,0.08,13.35,1.66,7.68,10.79,34.60
1982-Q4,0.28,3.46,9.29,0.05,0.26,12.61,2.24,5.98,9.88,34.25
1983-Q1,1.04,2.10,8.65,0.31,0.41,11.89,3.87,4.84,10.85,31.75
1983-Q2,3.66,1.52,8.80,0.82,0.70,11.85,3.53,3.71,9.90,28.20
1983-Q3,5.50,2.19,9.46,1.62,1.07,12.22,4.44,4.54,9.56,30.20
1983-Q4,6.23,3.11,9.43,2.66,1.23,12.17,4.61,4.93,9.06,30.35
1984-Q1,5.95,3.37,9.69,2.85,1.55,11.43,3.49,5.03,8.90,28.95
1984-Q2,5.75,3.34,10.56,1.73,1.23,10.86,1.74,5.02,8.83,30.08
1984-Q3,4.69,3.21,11.39,2.50,1.60,10.41,1.30,4.61,11.00,29.20
1984-Q4,3.51,2.66,9.27,1.92,0.92,10.13,2.41,4.72,9.83,28.36
1985-Q1,2.76,2.64,8.48,1.29,0.90,9.86,2.53,5.36,13.54,26.98
1985-Q2,2.69,2.68,7.92,2.71,1.90,9.96,5.48,6.74,12.38,28.10
1985-Q3,3.44,2.44,7.90,2.53,2.64,9.35,4.92,6.11,11.38,26.45
1985-Q4,3.20,2.54,8.10,2.61,3.20,8.63,3.19,5.36,11.38,27.15
1986-Q1,3.21,2.15,7.83,2.05,2.67,8.75,3.57,4.81,12.04,26.30
1986-Q2,2.13,1.04,6.92,2.91,3.80,8.03,2.20,2.73,10.04,11.60
1986-Q3,2.38,0.64,6.21,2.58,3.60,7.75,2.55,2.59,9.88,11.50
1986-Q4,1.98,0.82,6.27,2.23,3.62,7.87,4.14,3.39,10.88,14.05
1987-Q1,2.22,2.51,6.22,2.09,3.46,8.11,3.97,3.90,10.54,18.15
1987-Q2,2.33,3.02,6.65,1.94,3.38,8.43,4.74,4.11,9.04,18.45
1987-Q3,2.71,3.38,6.84,2.51,3.51,8.49,6.76,4.23,9.54,19.08
1987-Q4,3.65,3.11,6.92,3.52,4.00,8.43,6.12,4.02,8.88,18.48
1988-Q1,3.10,2.76,6.66,4.56,3.87,7.45,6.96,3.24,8.54,17.60
1988-Q2,3.51,2.85,7.16,3.80,2.71,7.26,6.11,3.74,8.04,15.65
1988-Q3,2.45,3.13,7.98,3.96,3.29,7.97,5.16,4.24,11.38,14.18
1988-Q4,3.20,3.44,8.47,3.62,2.78,8.48,4.83,4.42,12.54,11.93
1989-Q1,2.89,3.43,9.44,4.23,3.69,9.52,3.42,4.92,12.88,16.23
1989-Q2,3.10,3.82,9.73,4.27,3.76,9.69,3.44,5.13,13.46,20.45
1989-Q3,2.53,3.51,9.08,3.63,3.48,10.10,1.97,5.04,13.78,18.28
1989-Q4,1.74,3.39,8.61,3.75,3.77,11.07,1.15,5.32,14.88,18.23
1990-Q1,2.05,3.50,8.25,3.93,3.62,11.23,1.37,5.61,14.88,21.05
1990-Q2,1.68,3.70,8.24,3.44,3.64,10.62,1.20,6.48,14.88,18.29
1990-Q3,1.50,4.40,8.16,3.76,2.82,10.54,0.03,7.23,14.88,16.29
1990-Q4,-0.44,4.38,7.74,3.29,2.67,11.05,-0.40,7.58,13.88,39.06
1991-Q1,-1.30,4.14,6.43,2.63,2.94,11.10,-1.35,6.77,13.04,27.76
1991-Q2,-0.55,3.02,5.86,2.47,3.16,10.46,-1.99,8.05,11.54,18.16
1991-Q3,0.78,2.10,5.64,1.52,2.49,10.51,-1.14,7.43,10.71,18.34
1991-Q4,1.69,2.18,4.82,1.90,3.02,10.73,-0.56,6.79,10.38,20.99
1992-Q1,2.09,2.26,4.02,2.71,2.53,10.85,-0.20,6.76,10.38,17.79
1992-Q2,2.71,2.27,3.77,1.65,1.79,10.98,-0.14,4.19,10.04,18.04
1992-Q3,3.24,2.20,3.26,1.40,1.94,11.93,0.78,3.25,9.54,20.74
1992-Q4,3.06,2.40,3.04,0.25,1.36,11.45,1.33,2.59,7.21,20.26
1993-Q1,2.15,2.36,3.04,-1.93,-0.93,10.71,2.05,2.34,5.88,17.81
1993-Q2,1.78,2.32,3.00,-1.09,-1.06,9.09,2.68,2.42,5.88,18.86
1993-Q3,1.27,1.91,3.06,-0.40,-0.55,8.12,2.84,2.74,5.88,17.64
1993-Q4,2.41,2.01,2.99,0.07,-0.81,7.41,2.84,2.41,5.54,17.49
1994-Q1,2.79,1.79,3.21,1.67,0.94,6.84,3.33,2.40,5.21,13.32
1994-Q2,3.66,1.89,3.94,2.22,1.25,6.37,3.99,1.96,5.13,13.30
1994-Q3,2.92,1.99,4.49,2.48,1.65,6.38,4.31,1.72,5.29,16.90
1994-Q4,3.07,2.07,5.17,3.00,1.54,6.51,4.13,1.76,5.79,16.91
1995-Q1,2.06,2.23,5.81,2.62,1.91,6.94,3.17,2.46,6.46,16.23
1995-Q2,1.82,2.13,6.02,2.59,2.81,7.14,2.37,2.43,6.63,17.88
1995-Q3,1.54,2.05,5.80,2.29,1.96,6.69,2.27,2.70,6.63,16.35
1995-Q4,1.91,1.86,5.72,1.85,1.67,6.51,2.16,2.89,6.54,16.65
1996-Q1,2.22,1.93,5.36,1.35,1.98,5.63,2.96,2.63,6.06,18.65
1996-Q2,3.09,2.29,5.24,1.50,1.17,5.14,2.88,2.45,5.85,20.68
1996-Q3,3.31,2.32,5.31,1.71,1.88,5.00,2.29,2.29,5.69,19.77
1996-Q4,3.70,2.30,5.28,1.73,1.77,4.59,2.40,2.43,5.94,23.18
1997-Q1,2.73,2.05,5.28,2.00,1.37,4.44,2.12,1.86,5.94,23.90
1997-Q2,3.31,1.70,5.52,2.50,1.90,4.33,2.95,1.54,6.23,18.15
1997-Q3,3.52,1.34,5.53,2.65,1.53,4.32,3.18,1.87,6.92,18.65
1997-Q4,3.54,1.27,5.51,3.35,2.64,4.43,3.95,1.79,7.17,19.87
1998-Q1,3.02,1.24,5.52,3.65,2.94,4.20,3.73,1.60,7.25,15.86
1998-Q2,2.72,1.07,5.50,2.90,2.72,4.06,3.31,1.84,7.33,13.72
1998-Q3,3.25,1.05,5.53,2.70,3.39,3.94,3.28,1.40,7.50,11.87
1998-Q4,3.89,1.31,4.86,1.90,3.18,3.62,2.97,1.46,6.75,14.27
1999-Q1,3.72,1.34,4.73,2.15,3.26,3.09,2.88,1.54,5.67,10.54
1999-Q2,3.24,1.58,4.75,2.34,3.18,2.63,2.41,1.41,5.17,14.57
1999-Q3,2.87,1.85,5.09,2.87,3.21,2.70,3.34,1.24,5.08,17.27
1999-Q4,3.79,2.22,5.31,3.83,3.18,3.43,3.62,1.12,5.42,22.91
2000-Q1,3.26,2.46,5.68,4.14,3.27,3.55,4.23,0.80,5.92,24.93
2000-Q2,3.88,2.50,6.27,4.36,3.52,4.28,4.68,0.61,6.00,24.62
2000-Q3,2.28,2.68,6.52,3.83,3.06,4.74,3.48,0.79,6.00,32.20
2000-Q4,2.56,2.40,6.47,3.34,2.22,5.03,2.55,0.93,6.00,30.70
2001-Q1,0.40,2.57,5.59,3.09,2.40,4.74,2.55,0.83,5.83,22.58
2001-Q2,0.81,2.36,4.33,2.22,1.95,4.59,2.61,1.49,5.33,23.50
2001-Q3,-0.07,1.93,3.50,1.77,1.83,4.28,2.86,1.53,5.00,25.67
2001-Q4,0.49,0.91,2.13,1.16,1.67,3.45,2.86,1.06,4.17,21.52
2002-Q1,0.88,0.53,1.73,0.46,0.77,3.36,2.13,1.56,4.00,19.35
2002-Q2,1.75,1.03,1.75,0.93,0.64,3.45,2.19,0.95,4.00,25.16
2002-Q3,1.95,1.64,1.74,1.23,0.80,3.36,2.50,1.02,4.00,25.51
2002-Q4,1.10,1.91,1.44,1.15,1.34,3.12,3.03,1.47,4.00,29.28
2003-Q1,1.06,2.15,1.25,0.74,1.18,2.69,3.33,1.47,3.83,30.12
2003-Q2,1.50,1.45,1.25,0.32,1.15,2.36,3.43,1.25,3.75,26.85
2003-Q3,3.10,1.60,1.02,0.46,1.10,2.14,3.26,1.39,3.50,28.54
2003-Q4,3.75,0.96,1.00,1.17,0.89,2.15,3.11,1.31,3.67,28.37
2004-Q1,3.40,1.97,1.00,1.87,1.55,2.06,3.08,1.24,3.92,30.30
2004-Q2,2.47,2.00,1.01,2.33,1.60,2.08,2.71,1.40,4.25,32.54
2004-Q3,2.21,2.26,1.43,2.15,1.40,2.12,2.16,1.27,4.67,35.65
2004-Q4,2.50,2.49,1.95,1.73,1.96,2.16,1.90,1.43,4.75,46.72
2005-Q1,2.83,2.21,2.47,1.39,1.64,2.14,1.91,1.73,4.75,40.38
2005-Q2,2.44,2.25,2.94,1.54,1.91,2.12,2.44,1.92,4.75,53.32
2005-Q3,2.42,2.68,3.46,1.90,2.22,2.13,3.23,2.35,4.58,56.16
2005-Q4,1.93,3.10,3.98,2.16,1.83,2.34,4.19,2.11,4.50,60.79
2006-Q1,2.60,2.95,4.46,2.92,2.13,2.61,3.88,1.94,4.50,58.70
2006-Q2,2.06,2.35,4.91,3.32,2.10,2.90,3.10,2.21,4.50,67.53
2006-Q3,1.58,2.36,5.25,3.25,1.82,3.22,2.21,2.40,4.67,74.44
2006-Q4,1.17,1.43,5.25,3.73,2.34,3.59,1.35,2.68,4.92,58.20
2007-Q1,0.93,1.50,5.26,3.57,1.78,3.82,1.95,2.80,5.25,58.51
2007-Q2,1.60,1.69,5.25,3.11,1.88,4.07,2.26,2.55,5.42,69.99
2007-Q3,1.49,2.73,5.07,2.97,1.99,4.49,2.90,1.77,5.75,73.95
2007-Q4,1.79,2.98,4.50,2.37,1.40,4.72,3.09,2.07,5.67,79.43
2008-Q1,0.34,2.93,3.18,2.28,1.53,4.48,2.38,2.35,5.33,94.33
2008-Q2,0.17,3.59,2.09,1.21,0.63,4.86,1.22,3.32,5.00,98.79
2008-Q3,-0.67,3.90,1.94,0.16,-0.24,4.98,-1.24,4.70,5.00,140.32
2008-Q4,-2.12,0.51,0.51,-2.15,-0.97,4.24,-4.28,3.81,3.17,92.60
2009-Q1,-4.01,-1.48,0.18,-5.78,-1.54,2.01,-6.12,2.97,1.00,36.17
2009-Q2,-3.67,-2.48,0.18,-5.57,-1.36,1.31,-5.76,2.10,0.50,45.97
2009-Q3,-1.21,0.70,0.16,-4.69,-1.04,0.87,-3.91,1.45,0.50,68.77
2009-Q4,1.15,2.17,0.12,-2.39,-0.26,0.72,-1.28,2.07,0.50,67.47
2010-Q1,1.72,1.79,0.13,0.98,0.37,0.66,0.67,3.21,0.50,78.26
2010-Q2,2.36,0.90,0.19,2.19,0.72,0.69,1.68,3.38,0.50,82.14
2010-Q3,2.07,0.42,0.19,2.30,1.04,0.87,2.01,3.04,0.50,72.28
2010-Q4,2.26,1.06,0.19,2.29,1.01,1.02,1.75,3.30,0.50,82.79
2011-Q1,0.91,2.16,0.16,2.81,1.01,1.10,2.13,4.05,0.50,96.83
2011-Q2,0.97,3.00,0.09,1.84,0.28,1.42,1.67,4.28,0.50,119.25
2011-Q3,0.55,2.84,0.08,1.38,0.22,1.56,1.98,4.63,0.50,110.37
2011-Q4,2.06,2.23,0.07,0.61,-0.75,1.50,2.04,4.58,0.50,105.91
2012-Q1,1.99,1.68,0.10,-0.47,-1.24,1.04,1.51,3.43,0.50,109.19
2012-Q2,2.25,1.23,0.15,-0.83,-1.15,0.69,1.00,2.70,0.50,125.29
2012-Q3,1.25,1.19,0.14,-0.90,-1.41,0.36,1.19,2.39,0.50,95.54
2012-Q4,0.61,1.32,0.16,-0.94,-1.38,0.20,0.99,2.63,0.50,113.03
2013-Q1,0.62,1.51,0.14,-1.15,-1.35,0.21,1.42,2.73,0.50,111.60
2013-Q2,0.77,0.98,0.12,-0.45,-0.73,0.21,2.19,2.65,0.50,109.92
2013-Q3,1.48,0.78,0.08,-0.16,-0.35,0.22,2.12,2.65,0.50,103.39
2013-Q4,1.95,0.84,0.09,0.46,0.20,0.24,2.81,2.07,0.50,109.07
2014-Q1,1.44,1.55,0.07,1.06,0.72,0.30,2.78,1.74,0.50,110.50
2014-Q2,1.82,1.51,0.09,0.78,0.77,0.30,2.99,1.71,0.50,106.15
2014-Q3,1.93,1.28,0.09,0.79,1.02,0.16,2.72,1.44,0.50,110.89
2014-Q4,2.68,0.62,0.10,0.87,1.47,0.08,2.76,0.91,0.50,94.32
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
